"Name","Price","ProducerName","MPN","FormFactor","Size","RPM","Cache","ProductPage"
"HGST Deskstar NAS 0S03661",0,"HGST","0S03661","","3 TB",7200,"",""
"HGST Deskstar NAS 0S03665",0,"HGST","0S03665","","4 TB",7200,"",""
"HGST Deskstar NAS 0S03940",0,"HGST","0S03940","","5 TB",7200,"",""
"HGST Deskstar NAS v2 0S03941",0,"HGST","0S03941","","6 TB",7200,"",""
"Toshiba DT01ACA100 1TB 32MB",65.49,"Toshiba","DT01ACA100","","1 TB",7200,"","https://www.amazon.ca/Toshiba-3-5-Inch-Internal-Drive-DT01ACA100/dp/B00AV5FEV4?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00AV5FEV4"
"Toshiba P300 HDWD110EZSTA 1TB 64MB",18.88,"Toshiba","HDWD110EZSTA","","1 TB",7200,"","https://www.amazon.ca/1868806-Flexible-Cable-Black-White/dp/B0140Z4P7Y?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0140Z4P7Y"
"HGST Ultrastar 7K4000",0,"HGST","0F14683","","4 TB",7200,"",""
"HGST Ultrastar He6",466.85,"HGST","0F18335","","6 TB",7200,"","https://www.amazon.ca/Ultrastar-Enterprise-Internal-Drive-Cache/dp/B00GTD3AR2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00GTD3AR2"
"HGST Ultrastar He8",491.18,"HGST","0F23267","","8 TB",7200,"","https://www.amazon.ca/Western-Digital-Ultrastar-3-5-Inch-0F23267/dp/B00NP6AOCK?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00NP6AOCK"
"Hitachi HGST Travelstar 5K1000",0,"Hitachi HGST","HTS541010A9E680","","1 TB",5400,8,""
"Hitachi HGST Travelstar 7K1000",0,"Hitachi HGST","HTS721010A9E630","","1 TB",7200,32,""
"Hitachi HGST Ultrastar 7K4000",0,"Hitachi HGST","HUS724020ALE640","","2 TB",7200,"",""
"Seagate Archive Hard Drive ST6000AS0002 6TB 5900rpm 128MB",0,"Seagate","ST6000AS0002","","6 TB",5900,"",""
"Seagate Archive Hard Drive ST8000AS0002 8TB 5900rpm 128MB",0,"Seagate","ST8000AS0002","","8 TB",5900,"",""
"Seagate BarraCuda Compute Hard Drive 2 TB",43.52,"Seagate","ST2000DM008",3.5,"2 TB",7200,256,"https://www.amazon.ca/dp/B07H2RR55Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate Barracuda Hard Drive",0,"Seagate","ST4000DM000","","4 TB",5900,64,""
"Seagate Barracuda Hard Drive",48.67,"Seagate","ST1000DM003","","1 TB",7200,64,"https://www.amazon.ca/Seagate-Desktop-HDD-Hard-Drive/dp/B01KALOV08?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01KALOV08"
"Seagate BarraCuda Hard Drive",54.4,"Seagate","ST2000DM006","","2 TB",7200,"","https://www.amazon.ca/Seagate-BarraCuda-3-5-Inch-Internal-ST2000DM006/dp/B01IEKG402?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01IEKG402"
"Seagate BarraCuda Hard Drive",84.78,"Seagate","ST3000DM008","","3 TB",7200,"","https://www.amazon.ca/dp/B01IEKG4NE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate Barracuda Hard Drive",112.71,"Seagate","ST2000DM001","","2 TB",7200,64,"https://www.amazon.ca/Seagate-ST2000DM001-Drives-Cache-Internal/dp/B00EG1T898?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00EG1T898"
"Seagate BarraCuda Hard Drive 1 TB",42.06,"Seagate","ST1000DM010",3.5,"1 TB",7200,64,"https://www.amazon.ca/dp/B07D99KFPK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate BarraCuda Hard Drive 1 TB",51.86,"Seagate","ST1000LM048",2.5,"1 TB",5400,128,"https://www.amazon.ca/dp/B01LYNQXCP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate BarraCuda Hard Drive 2 TB",0,"Seagate","ST2000LM015",2.5,"2 TB",5400,128,""
"Seagate BarraCuda Hard Drive 3 TB",0,"Seagate","ST3000LM024",2.5,"3 TB",5400,128,""
"Seagate BarraCuda Hard Drive 3 TB",87.04,"Seagate","ST3000DM007",3.5,"3 TB",5400,256,"https://www.amazon.ca/dp/B075YPRCWC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate BarraCuda Hard Drive 4 TB",0,"Seagate","ST4000LM024",2.5,"4 TB",5400,128,""
"Seagate BarraCuda Hard Drive 4 TB",89.48,"Seagate","ST4000DM004",3.5,"4 TB",5400,256,"https://www.amazon.ca/Seagate-Barracuda-Internal-Computer-ST4000DM004/dp/B071WLPRHN?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071WLPRHN"
"Seagate BarraCuda Hard Drive 5 TB",195.02,"Seagate","ST5000LM000",2.5,"5 TB",5400,128,"https://www.amazon.ca/Seagate-BarraCuda-Internal-Hard-Drive/dp/B01M0AADIX?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M0AADIX"
"Seagate BarraCuda Hard Drive 6 TB",137.08,"Seagate","ST6000DM003",3.5,"6 TB",5400,256,"https://www.amazon.ca/dp/B075WX2TKM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate BarraCuda Hard Drive 8 TB",141.44,"Seagate","ST8000DM004",3.5,"8 TB",5400,256,"https://www.amazon.ca/Seagate-Barracuda-Internal-3-5-Inch-ST8000DM004/dp/B075WYBQXJ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075WYBQXJ"
"Seagate BarraCuda Pro Hard Drive",0,"Seagate","ST4000DM006",3.5,"4 TB",7200,128,""
"Seagate BarraCuda Pro Hard Drive",0,"Seagate","ST6000DM004",3.5,"6 TB",7200,256,""
"Seagate BarraCuda Pro Hard Drive",293.69,"Seagate","ST8000DM0004",3.5,"8 TB",7200,256,"https://www.amazon.ca/Seagate-ST8000DM0004-Drives-Cache-Internal/dp/B06Y6CCSVW?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06Y6CCSVW"
"Seagate BarraCuda Pro Hard Drive 1 TB",58.02,"Seagate","ST1000LM049",2.5,"1 TB",7200,128,"https://www.amazon.ca/Seagate-ST1000LM049-Drives-Cache-Internal/dp/B078TJ17QF?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078TJ17QF"
"Seagate BarraCuda Pro Hard Drive 12 TB",436.31,"Seagate","ST12000DM0007",3.5,"12 TB",7200,256,"https://www.amazon.ca/Seagate-ST12000DM0007-Drives-12000-Internal/dp/B078SXT4ZK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078SXT4ZK"
