"Name","Price","ProducerName","MPN","Socket","ChipSet","Unlocked","FormFactor","MemoryType","MemoryCapacity","RAMSlots","SATA","VGA","DVI","Display Port","HDMI","Wifi","Integrated Graphics","ProductPage"
"MSI B550-A Pro",145.07,"MSI","7C56-002R","AM4","B550","FALSE","ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE","https://www.amazon.ca/dp/B089CZSQB4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock 970 PRO3 R2.0 GL/SATA600/R/USB3.0 970",0,"ASRock","970 PRO3 R2.0","AM3+","A970","FALSE","ATX","DDR3","GB",4,"","","","","","FALSE","FALSE",""
"ASRock A88M-G/3.1 A88X",0,"ASRock","A88M-G/3.1","FM2+","A88X","FALSE","Micro-ATX","DDR3","64 GB",4,8,1,1,0,1,"FALSE","FALSE",""
"ASRock B250 Pro4",0,"ASRock","90-MXB3S0-A0UAYZ","LGA 1151","B250","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASRock B360 Pro4",112.72,"ASRock","90-MXB6V0-A0UAYZ","LGA 1151","B360","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-B360-PRO4-CrossFireX-Motherboard/dp/B07BMVTZDY?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BMVTZDY"
"ASRock B360M Pro4",92.4,"ASRock","90-MXB760-A0UAYZ","LGA 1151","B360","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-B360M-PRO4-CrossFireX-Motherboard/dp/B07BMVV827?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BMVV827"
"ASRock B360M-ITX/AC",103.49,"ASRock","90-MXB790-A0UAYZ","LGA 1151","B360","FALSE","Mini-ITX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-B360M-ITX-AC-Mini-ITX-Motherboard/dp/B07BMVHFBW?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BMVHFBW"
"ASRock B650 PG Lightning",0,"ASRock","90-MXBK20-A0UAYZ","AM5","B650","FALSE","ATX","DDR5","128 GB",4,4,0,0,1,1,"TRUE","FALSE",""
"ASRock B650 Pro RS",0,"ASRock","90-MXBL10-A0UAYZ","AM5","B650","FALSE","ATX","DDR5","128 GB",4,2,0,0,1,1,"TRUE","FALSE",""
"ASRock B650M PG Riptide",159.58,"ASRock","90-MXBJ90-A0UAYZ","AM5","B650E","FALSE","Micro-ATX","DDR5","128 GB",4,4,0,0,1,1,"FALSE","FALSE","https://www.amazon.ca/dp/B0BHYV43QV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock Fatal1ty B250M Performance",0,"ASRock","90-MXB4R0-A0UAYZ","LGA 1151","B250","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASRock Fatal1ty X399 Professional Gaming",431.41,"ASRock","90-MXB5Q0-A0UAYZ","TR4","X399","TRUE","ATX","DDR4","128 GB",8,8,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B074J6LVBD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock FM2A88M Pro3+",0,"ASRock","FM2A88M PRO3+","FM2+","A88X","FALSE","Micro-ATX","DDR3","64 GB",4,8,1,1,0,1,"FALSE","FALSE",""
"ASRock H110M-HDS",0,"ASRock","90-MXB150-A0UAYZ","LGA 1151","H110","FALSE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"ASRock H110M-ITX/ac",0,"ASRock","90-MXB1H0-A0UAYZ","LGA 1151","H110","FALSE","Mini-ITX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"ASRock H97M Anniversary",0,"ASRock","H97M Anniversary","LGA 1150","H97","FALSE","Micro-ATX","DDR3","32 GB",4,6,1,1,0,1,"FALSE","FALSE",""
"ASRock X299 Gaming K6",261.13,"ASRock","90-MXB5E0-A0UAYZ","LGA 2066","X299","TRUE","ATX","DDR4","128 GB",8,8,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-X299-K6-Fatal1ty-Motherboard/dp/B0737WT8XK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0737WT8XK"
"ASRock X399 Taichi",314.49,"ASRock","90-MXB5R0-A0UAYZ","TR4","X399","TRUE","ATX","DDR4","128 GB",8,8,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B074J5R36W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock X570 Taichi, AMD X570",293.77,"ASRock","90-MXBA80-A0UAYZ","AM4","X570","TRUE","ATX","DDR4","128 GB",4,8,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/ASRock-X570-Taichi-DDR4-Motherboard/dp/B07TD911Y2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07TD911Y2"
"ASRock X99 Taichi",253.93,"ASRock","90-MXB380-A0UAYZ","LGA 2011-v3","X99","FALSE","ATX","DDR4","128 GB",8,10,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-LGA2011-v3-X99-Motherboard-TAICHI/dp/B01ITOLDQI?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01ITOLDQI"
"ASRock X99E-ITX/AC",0,"ASRock","X99E-ITX/AC","LGA 2011-v3","X99","FALSE","ITX","DDR4","16 GB",2,6,0,0,0,0,"FALSE","FALSE",""
"ASRock Z270 Killer SLI",196.37,"ASRock","90-MXB4T0-A0UAYZ","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B01N48AFA1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock Z270 Pro4",128.2,"ASRock","90-MXB3Q0-A0UAYZ","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-Z270-PRO4-CrossFireX-Motherboard/dp/B01NCEGBY5?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NCEGBY5"
"ASRock Z270M Pro4",131.84,"ASRock","90-MXB3F0-A0UAYZ","LGA 1151","Z270","TRUE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B01N1MOFKV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock Z270M-ITX/ac",123.07,"ASRock","90-MXB3K0-A0UAYZ","LGA 1151","Z270","TRUE","Mini-ITX","DDR4","32 GB",2,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-Z270M-ITX-ac-Motherboard/dp/B01N1MOFKZ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N1MOFKZ"
"ASRock Z370 Pro4",130.56,"ASRock","90-MXB5X0-A0UAYZ","LGA 1151","Z370","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-Motherboard-Motherboards-Z370-PRO4/dp/B07639M7MY?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07639M7MY"
