"Name","Price","ProducerName","MPN","RamType","Size","Clock","Sticks","ProductPage"
"Corsair Vengeance RGB RS",61.19,"Corsair","CMG16GX4M2E3200C16","DDR4-3200","16 GB",3200,2,"https://www.amazon.ca/dp/B09C5V7M9X?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ADATA Lancer DDR5-5200",0,"ADATA","AX5U5200C3816G-CLABK","DDR5-5200","16 GB",5200,1,""
"ADATA Premier DDR5-4800",0,"ADATA","AD5U480016G-S","DDR5-4800","16 GB",4800,1,""
"ADATA XPG Spectrix D80 red",0,"ADATA","AX4U3200316G16-DB80","DDR4-3200","32 GB",3200,2,""
"ADATA XPG Spectrix D80 black",0,"ADATA","AX4U320038G16-DB80","DDR4-3200","16 GB",3200,2,""
"ADATA XPG Spectrix RGB D41 grey",0,"ADATA","AX4U320038G16-DT41","DDR4-3200","16 GB",3200,2,""
"ADATA XPG Spectrix RGB D41 grey",0,"ADATA","AX4U3200316G16-DT41","DDR4-3200","32 GB",3200,2,""
"ADATA XPG Spectrix RGB D41 grey",0,"ADATA","AX4U360038G17-DT41","DDR4-3600","16 GB",3600,2,""
"ADATA XPG Spectrix RGB D41 red",0,"ADATA","AX4U360038G17-DR41","DDR4-3600","16 GB",3600,2,""
"ADATA XPG Spectrix RGB D41 red",0,"ADATA","AX4U320038G16-DR41","DDR4-3200","16 GB",3200,2,""
"ADATA XPG Spectrix RGB D60G grey",0,"ADATA","AX4U320038G16-DT60","DDR4-3200","16 GB",3200,2,""
"ADATA XPG Spectrix RGB D60G grey",131.73,"ADATA","AX4U360038G17-DT60","DDR4-3600","16 GB",3600,2,"https://www.amazon.ca/dp/B07QVWLJHQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Avexir Blitz Series, weiße LED, DDR4-3600, CL17 - 16 GB Kit",0,"Avexir","AVD4UZ136001708G-2BZ1SW","DDR4-3600","16 GB",3600,2,""
"Avexir Core Series, blaue LED, DDR4-2400, CL16 - 16 GB Kit",0,"Avexir","AVD4UZ124001608G-2COB","DDR4-2400","16 GB",2400,2,""
"Avexir Core Series, blaue LED, DDR4-2400, CL16 - 8 GB",0,"Avexir","AVD4UZ124001608G-1COB","DDR4-2400","8 GB",2400,1,""
