CpuName,Manufacturer,SingleScore,MultiScore,Cores,Threads,BaseClock,TurboClock,Type,Categories,Price,SubCategories
Threadripper 3990X,AMD,1262,75671,64,128,2.9,4.5,Rendering moduling simulation streaming gaming server,Workstation ,"4,861.00","Design-Engineering & 3D Modeling, Simulation, and Machine Learning & AI"
Threadripper Pro 3995WX,AMD,1231,73220,64,128,2.7,4.2,Rendering moduling simulation streaming gaming server,Workstation ,6866,"Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI& Video Editing"
Epyc 7702P,AMD,993,48959,64,128,2,3.35,Rendering moduling simulation streaming server,Workstation ,"1,898","Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI& Video Editing"
Threadripper 3970X,AMD,1308,46874,32,64,3.7,4.5,Rendering moduling simulation streaming gaming server,Workstation ,"2,495.00","Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI &  Video Editing"
Threadripper Pro 3975WX,AMD,1244,43450,32,64,3.5,4.2,Rendering moduling simulation streaming gaming server,Workstation ,"2,997","Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI&  for Video Editing"
Threadripper 3960X,AMD,1307,34932,24,64,3.8,4.5,Rendering moduling simulation streaming gaming server,Workstation ,"1,475","Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI&  for Video Editing"
Threadripper 2990WX,AMD,1005,29651,32,64,3,4.2,Rendering moduling simulation streaming gaming server,Workstation ,"2,000","Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI&  for Video Editing"
Ryzen 9 5950X,AMD,1684,28782,16,32,3.4,4.9,Rendering moduling simulation streaming gaming,Workstation ,441.71,Very Capable for all categories
Core i9 12900K,Intel,2007,27852,16,24,3.2,5.2,Rendering moduling simulation streaming gaming,Workstation ,399.99,Very Capable for all categories
Core i9 12900KF,Intel,1974,27852,16,24,3.2,5.2,Rendering moduling simulation streaming gaming,Workstation ,398.99,Very Capable for all categories
Core i9 12900KS,Intel,2082,27796,16,24,3.4,5.5,Rendering moduling simulation streaming gaming,Workstation ,399.99,Very Capable for all categories 
Threadripper Pro 3955WX,AMD,1401,27175,16,32,3.9,4.3,Rendering moduling simulation streaming gaming server,Workstation ,991,"Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI & Video Editing"
Core i9 9980XE,Intel,1114,27093,18,36,3,4.4,Rendering moduling simulation streaming gaming,Workstation ,"1,087","Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI & Video Editing"
Ryzen 9 3950X,AMD,1406,26375,16,32,3.5,4.7,Rendering moduling simulation streaming gaming,Workstation ,459.99,Very Capable for all categories 
Core i9 10980XE,Intel,1063,25490,18,36,3,4.6,Rendering moduling simulation streaming gaming,Workstation ,"1,121.48","Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI & Video Editing"
Core i7 12700K,Intel,1950,23168,12,20,3.6,5,Rendering moduling simulation streaming gaming ,Workstation ,409,Very Capable for all categories 
Core i7 12700KF,Intel,1958,22997,12,20,3.6,5,Rendering moduling simulation streaming gaming,Workstation ,276,Very Capable for all categories 
Ryzen 9 5900X,AMD,1670,22046,12,24,3.7,4.8,Rendering moduling simulation streaming gaming,Workstation ,299.99,Very Capable for all categories 
Ryzen 9 5900,AMD,1608,21071,12,24,3,4.7,Rendering moduling simulation streaming gaming ,Workstation ,299.99,Very Capable for all categories 
Threadripper 1950X,AMD,1027,19635,16,32,3.4,4,Rendering moduling simulation server,Workstation ,583.1,"Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI & Video Editing"
Threadripper 2950X,AMD,1135,18797,16,32,3.5,4.4,Rendering moduling simulation server,Workstation ,"1,075","Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI & Video Editing"
Ryzen 9 3900X,AMD,1312,18682,12,24,3.8,4.6,Rendering moduling simulation streaming gaming ,Workstation ,390,Very Capable for all categories 
Ryzen 9 3900XT,AMD,1354,18511,12,24,4.1,4.7,Rendering moduling simulation streaming gaming ,Workstation ,390,Very Capable for all categories 
Core i9 7980XE,Intel,1287,18389,18,36,2.6,4.2,Rendering moduling streaming gaming ,Workstation ,773.28,"Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI & Video Editing"
Core i9 9960X,Intel,1085,18125,16,32,3.1,4.4,Rendering moduling simulation streaming gaming ,Workstation ,"1,398.11","Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI & Video Editing"
Core i5 12600KF,Intel,1929,17979,10,16,3.7,4.9,Rendering moduling simulation streaming gaming ,Desktop ,219.94,Very Capable for all categories (Gaming)
Core i9 10900KF,Intel,1516,17486,10,20,3.7,5.3,Rendering moduling simulation streaming gaming ,Workstation ,315.19,"Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI & Video Editing"
Core i5 12600K,Intel,1904,17400,10,16,3.7,4.9,Desktop,Desktop ,199.99,Very Capable for all categories (Gaming)
Core i9 10940X,Intel,1250,16427,14,28,3.3,4.6,Desktop,Workstation ,897.05,"Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI & Video Editing"
Core i9 11900KF,Intel,1670,16367,8,16,3.5,5.3,Desktop,Desktop ,415.99,Very Capable for all categories 
Core i7 12700,Intel,1875,16225,12,20,3.6,4.9,Desktop,Workstation ,409,Very Capable for all categories 
Core i9 11900K,Intel,1671,16211,8,16,3.5,5.3,Desktop,Desktop ,318.9,Very Capable for all categories 
Core i9 10850K,Intel,1325,15762,10,20,3.6,5.2,Desktop,Workstation ,265.99,Very Capable for all categories 
Core i9 10920X,Intel,1307,15709,12,24,3.5,4.6,Desktop,Workstation ,757.9,Very Capable for all categories 
Core i9 9940X,Intel,1248,15585,14,28,3.3,4.4,Desktop,Workstation ,871.03,"Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI & Video Editing"
Core i9 10900K,Intel,1433,15564,10,20,3.7,5.3,Desktop,Workstation ,319.99,"Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI & Video Editing"
Core i9 7960X,Intel,1117,15301,16,32,2.8,4.2,Desktop,Workstation ,367.98,"Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI & Video Editing"
Core i7 11700KF,Intel,1578,15223,8,16,3.6,5,Desktop,Desktop ,262.99,Very Capable for all categories (Gaming)
Core i7 11700K,Intel,1582,15136,8,16,3.6,5,Desktop,Desktop ,276.1,Very Capable for all categories (Gaming)
