GpuName,G3DMark,G2DMark,Price,GpuValue,TDP,PowerPerformance,TestDate,Category,Subcategory
GeForce RTX 3090 Ti,29094,1117,"2,199",13.85,450,64.65,2022,"Gaming, Workstation, Desktop",Video Editing & Gaming
GeForce RTX 3080 Ti,26887,1031,1229,22.41,350,76.82,2021,"Gaming, Workstation, Desktop",Video Editing & Gaming
GeForce RTX 3090,26395,999,1881,15.08,350,75.41,2020,"Gaming, Workstation, Desktop",Video Editing & Gaming
Radeon RX 6900 XT,25458,1102,669,22.72,300,84.86,2020,"Gaming, Workstation, Desktop",Video Editing & Gaming
GeForce RTX 3070 Ti,23367,1003,585,31.16,290,80.58,2021,"Gaming, Workstation, Desktop",Video Editing & Gaming
Radeon RX 6800 XT,23364,1078,559,27.2,300,77.88,2020,"Gaming, Workstation, Desktop",Video Editing & Gaming
RTX A5000,22867,984,3007,8.69,230,99.42,2021,"Workstation, Desktop",Machine Learning & AI
RTX A6000,22122,832,4000,4.42,300,73.74,2021,"Workstation, Desktop",Machine Learning & AI
GeForce RTX 3070,22093,969,760,30.69,220,100.42,2020,"Gaming, Workstation, Desktop",Video Editing & Gaming
GeForce RTX 2080 Ti,21796,940,315,21.83,250,87.18,2018,"Gaming, Workstation, Desktop",Video Editing & Gaming
RTX A4500,21546,892,"1,780",10.09,200,107.73,2022,"Workstation, Desktop",Machine Learning & AI
Radeon RX 6800,20667,1030,579,27.23,250,82.67,2020,"Gaming, Workstation, Desktop",Video Editing & Gaming
GeForce RTX 3060 Ti,20206,961,359.99,33.68,200,101.03,2020,"Gaming, Workstation, Desktop",Video Editing & Gaming
TITAN RTX,20169,844,2499,7.22,280,72.03,2018,"Gaming, Workstation, Desktop",Video Editing & Gaming
Quadro RTX 6000,19692,837,"4,699",3.13,295,66.75,2018,"Workstation, Desktop","Design-Engineering, 3D Modeling, Simulation"
GeForce RTX 2080 SUPER,19519,934,699,28.54,250,78.08,2019,"Gaming, Workstation, Desktop",Video Editing & Gaming
TITAN Xp,19508,992,"1,200",0,250,78.03,2020,"Gaming, Workstation, Desktop",Video Editing & Gaming
Quadro RTX 8000,19126,801,4741.49,4.03,260,73.56,2019,"Workstation, Desktop","Design-Engineering, 3D Modeling, Simulation"
Radeon RX 6700 XT,18993,1014,731,35.84,230,82.58,2021,"Gaming, Workstation, Desktop",Video Editing & Gaming
RTX A4000,18988,938,744.99,15.39,140,135.63,2021,"Workstation, Desktop",Machine Learning & AI
Radeon PRO W6800,18802,914,1849,8.57,250,75.208,2021,"Workstation, Desktop","Design-Engineering, 3D Modeling"
GeForce RTX 2080,18732,917,806.6,29.59,250,74.93,2018,"Gaming, Workstation, Desktop",Video Editing & Gaming
