name,price,type,efficiency,wattage,modular,color
Corsair RM750e (2023),99.99,ATX,gold,750,Full,Black
Corsair RM850e (2023),129.0,ATX,gold,850,Full,Black
Corsair RM1000e (2023),179.81,ATX,gold,1000,Full,Black
Corsair CX650M (2021),64.99,ATX,bronze,650,Semi,Black
Corsair RM650 (2023),89.99,ATX,gold,650,Full,Black
Corsair RM850x (2021),124.99,ATX,gold,850,Full,Black
Thermaltake Smart,39.95,ATX,plus,500,false,
Corsair RM850,139.99,ATX,gold,850,Full,White / Black
MSI MAG A650BN,54.0,ATX,bronze,650,false,Black
Cooler Master MWE Gold 850 - V2,89.99,ATX,gold,850,Full,Black
MSI MAG A550BN,44.0,ATX,bronze,550,false,Black
Gigabyte UD750GM,89.99,ATX,gold,750,Full,Black
Corsair RM1000x (2021),174.99,ATX,gold,1000,Full,Black
MSI MAG A850GL PCIE5,89.0,ATX,gold,850,Full,Black
Asus ROG THOR 1600T Gaming,631.99,ATX,titanium,1600,Full,Silver / Black
Thermaltake Smart,44.99,ATX,plus,600,false,
Corsair HX1500i (2023),279.99,ATX,platinum,1500,Full,Black
Apevia Galaxy,54.99,ATX,gold,650,Semi,Black
Corsair RM750x (2021),119.95,ATX,gold,750,Full,Black
EVGA SuperNOVA 650 GT,97.99,ATX,gold,650,Full,Black
Silverstone HELA,773.13,ATX,,2050,Full,Black / White
MSI MAG A650GL,89.99,ATX,gold,650,Full,Black
MSI MAG A750GL PCIE5,93.0,ATX,gold,750,Full,Black
Thermaltake Toughpower GF1 (2024),104.98,ATX,gold,750,Full,Black
be quiet! Pure Power 12 M,99.9,ATX,gold,850,Full,Black
Thermaltake Toughpower GX2,60.99,ATX,gold,600,false,Black
Corsair CX750M (2021),74.98,ATX,bronze,750,Semi,Black
Corsair RM750,109.99,ATX,gold,750,Full,White / Black
Apevia Prestige,51.99,ATX,gold,600,false,Black
be quiet! Pure Power 12 M,94.9,ATX,gold,750,Full,Black
Corsair AX1200,799.0,ATX,gold,1200,Full,
SeaSonic FOCUS PLUS 850 Gold,152.57,ATX,gold,850,Full,
EVGA 500 BR,59.99,ATX,bronze,500,false,
NZXT C850 (2022),109.99,ATX,gold,850,Full,Black
Corsair AX1600i,609.94,ATX,titanium,1600,Full,
Corsair CX (2023),79.98,ATX,bronze,750,false,Black
MSI MPG A850G PCIE5,127.0,ATX,gold,850,Full,Black
be quiet! Dark Power 13,249.9,ATX,titanium,1000,Full,Black
Corsair CX (2023),59.99,ATX,bronze,550,false,Black
MSI A1000G PCIE5,159.0,ATX,gold,1000,Full,Black
Thermaltake Toughpower GF1 (2024),94.99,ATX,gold,850,Full,Black
Asus ROG Strix,169.79,ATX,gold,850,Full,White
be quiet! Pure Power 12 M,129.9,ATX,gold,1000,Full,Black
SeaSonic FOCUS GX,161.87,ATX,gold,750,Full,Black
Thermaltake Smart,54.99,ATX,plus,700,false,
NZXT C750 (2022),94.99,ATX,gold,750,Full,Black
Corsair HX1000i (2023),259.99,ATX,platinum,1000,Full,Black
Corsair RMe (2023),169.99,ATX,gold,1200,Full,Black
EVGA SuperNOVA 850 GT,129.99,ATX,gold,850,Full,Black
Corsair CX (2023),59.99,ATX,bronze,650,false,Black
be quiet! Straight Power 12,169.9,ATX,platinum,1000,Full,Black
Cooler Master MWE GOLD 750 V2 FULL MODULAR,148.29,ATX,gold,750,Full,Black
be quiet! Dark Power Pro 13,399.99,ATX,titanium,1600,Full,Black
EVGA SuperNOVA 1600 T2,769.0,ATX,titanium,1600,Full,
EVGA SuperNOVA 1000 GT,149.99,ATX,gold,1000,Full,Black
be quiet! Straight Power 12,179.9,ATX,platinum,1200,Full,Black
Gigabyte UD1000GM,119.99,ATX,gold,1000,Full,Black
EVGA SuperNOVA 750 GT,109.99,ATX,gold,750,Full,Black
Asus ROG THOR P2 Gaming,309.99,ATX,platinum,1200,Full,Silver / Black
Gigabyte UD850GM,104.99,ATX,gold,850,Full,Black
SeaSonic PRIME TX-1000,298.87,ATX,titanium,1000,Full,Black
Thermaltake Toughpower GF A3 Snow,119.99,ATX,gold,850,Full,White
EVGA 500 W1,49.99,ATX,plus,500,false,
MSI MPG A650GF,101.99,ATX,gold,650,Full,Black
Thermaltake Toughpower,79.98,ATX,gold,750,Semi,
Asus ROG STRIX 1000G,189.48,ATX,gold,1000,Full,Black
SeaSonic FOCUS Plus 750 Gold,124.28,ATX,gold,750,Full,
NZXT C1000 (2022),134.0,ATX,gold,1000,Full,Black
MSI MPG A750GF,89.0,ATX,gold,750,Full,Black
Thermaltake Smart BM3,79.98,ATX,bronze,750,Semi,Black
EVGA 600 BR,69.99,ATX,bronze,600,false,
Asus TUF Gaming 1000G,157.88,ATX,gold,1000,Full,Black
NZXT C1200,194.99,ATX,gold,1200,Full,Black
Corsair HX1200 Platinum,429.0,ATX,platinum,1200,Full,
Thermaltake Smart BM3,69.98,ATX,bronze,650,Semi,Black
be quiet! System Power 10,116.34,ATX,bronze,450,false,Black
EVGA 600 W1,71.95,ATX,plus,600,false,
Apevia CAPTAIN,31.99,ATX,,550,false,Black
SeaSonic FOCUS GX,154.99,ATX,gold,850,Full,Black
be quiet! Pure Power 11,128.41,ATX,gold,400,false,Black
MSI MEG Ai1300P PCIE5,304.0,ATX,platinum,1300,Full,Black / Copper
SeaSonic FOCUS Plus 650 Gold,140.51,ATX,gold,650,Full,
Apevia Prestige,66.98,ATX,gold,800,false,Black
Deepcool PX850G,99.99,ATX,gold,850,Full,Black
Gigabyte UD-GM PG5,124.99,ATX,gold,850,Full,White
be quiet! Straight Power 12,149.9,ATX,platinum,850,Full,Black
Montech TITAN GOLD 850W,109.99,ATX,gold,850,Full,Black
Asus Prime AP-750G,98.99,ATX,gold,750,Full,White / Black
Corsair RM750 (2019),216.95,ATX,gold,750,Full,Black
Gigabyte P450B,58.66,ATX,bronze,450,false,Black
EVGA SuperNOVA 650 G+,108.0,ATX,gold,650,Full,Black
Corsair RM1200x SHIFT,189.99,ATX,gold,1200,Full / Side,Black
EVGA 700 GD,89.99,ATX,gold,700,false,Black
SeaSonic FOCUS GX-1000 ATX 3.0,199.99,ATX,gold,1000,Full,Black
EVGA 600 GD,81.79,ATX,gold,600,false,Black
be quiet! Dark Power 13,229.9,ATX,titanium,850,Full,Black
BitFenix BFG GOLD ATX3.0,79.9,ATX,gold,750,Full,Black
Apevia Galaxy,69.98,ATX,gold,850,Semi,Black
EVGA 400 N1,48.99,ATX,,400,false,
ADATA XPG CORE Reactor 850,94.99,ATX,gold,850,Full,Black
Asus ROG THOR P2 Gaming,300.99,ATX,platinum,1000,Full,Silver / Black
NZXT C (2019),89.99,ATX,gold,650,Full,Black
Corsair RM1000x,243.0,ATX,gold,1000,Full,
Deepcool PX1000G,124.99,ATX,gold,1000,Full,Black
Corsair RM850x SHIFT,159.99,ATX,gold,850,Full / Side,Black
Asus ROG THOR P2 Gaming,170.99,ATX,platinum,850,Full,Black / Silver
Logisys PS480D,16.98,ATX,,480,false,
Asus TUF Gaming 850G,129.99,ATX,gold,850,Full,Black
be quiet! System Power 10,141.71,ATX,bronze,650,false,Black
SeaSonic FOCUS GX-850 ATX 3.0,139.99,ATX,gold,850,Full,Black
Apevia Premier,59.99,ATX,gold,650,Semi,Black
Corsair RM1000x SHIFT,187.71,ATX,gold,1000,Full / Side,Black
Deepcool PM750D,82.99,ATX,gold,750,false,Black
be quiet! Dark Power Pro 13,369.9,ATX,titanium,1300,Full,Black
EVGA SuperNOVA 750 P5,99.99,ATX,platinum,750,Full,Black / Teal
Thermaltake Toughpower GF3 TT Premium,289.99,ATX,gold,1650,Full,Black
Thermaltake Toughpower GF3 Snow,234.98,ATX,gold,1200,Full,White
Thermaltake Toughpower GF A3 - TT Premium Edition,104.0,ATX,gold,850,Full,Black
CoolMax I-500,26.68,ATX,,500,false,
MSI MPG A750GF WHITE,254.01,ATX,gold,750,Full,White
EVGA 650 GQ,126.48,ATX,gold,650,Semi,
PowerSpec PS 650BF,54.99,ATX,bronze,650,false,Black
SeaSonic VERTEX GX-1200,217.78,ATX,gold,1200,Full,Black / Silver
be quiet! Pure Power 12 M,99.9,ATX,gold,650,Full,Black
Vetroo GV1000,129.99,ATX,gold,1000,Full,White
PowerSpec PS 750BSM,69.98,ATX,bronze,750,Semi,Black
SeaSonic PRIME TX,663.53,ATX,titanium,1600,Full,Black / Silver
Cooler Master MWE Gold V2 ATX3.0,129.99,ATX,gold,1250,Full,Black
SeaSonic FOCUS Plus Platinum,157.72,ATX,platinum,750,Full,
